State;n1;n2;n3;n4;n5;n6;nSumm;    s1;    s2;    s3;    s4;    s5;    s6;
    1; 1; 0; 0; 0; 0; 0;    1;  0.70;  0.90;  0.20;  0.90;  0.70;  0.10;
    2; 2; 0; 0; 0; 0; 0;    2;  1.40;  1.80;  0.40;  1.80;  1.40;  0.20;
    3; 3; 0; 0; 0; 0; 0;    3;  2.10;  2.70;  0.60;  2.70;  2.10;  0.30;
    4; 4; 0; 0; 0; 0; 0;    4;  2.80;  3.60;  0.80;  3.60;  2.80;  0.40;
    5; 0; 1; 0; 0; 0; 0;    1;  0.90;  0.60;  0.30;  0.60;  1.32;  0.10;
    6; 1; 1; 0; 0; 0; 0;    2;  1.60;  1.50;  0.50;  1.50;  2.02;  0.20;
    7; 2; 1; 0; 0; 0; 0;    3;  2.30;  2.40;  0.70;  2.40;  2.72;  0.30;
    8; 3; 1; 0; 0; 0; 0;    4;  3.00;  3.30;  0.90;  3.30;  3.42;  0.40;
   10; 0; 2; 0; 0; 0; 0;    2;  1.80;  1.20;  0.60;  1.20;  2.64;  0.20;
   11; 1; 2; 0; 0; 0; 0;    3;  2.50;  2.10;  0.80;  2.10;  3.34;  0.30;
   12; 2; 2; 0; 0; 0; 0;    4;  3.20;  3.00;  1.00;  3.00;  4.04;  0.40;
   15; 0; 3; 0; 0; 0; 0;    3;  2.70;  1.80;  0.90;  1.80;  3.96;  0.30;
   16; 1; 3; 0; 0; 0; 0;    4;  3.40;  2.70;  1.10;  2.70;  4.66;  0.40;
   20; 0; 4; 0; 0; 0; 0;    4;  3.60;  2.40;  1.20;  2.40;  5.28;  0.40;
   21; 0; 0; 1; 0; 0; 0;    1;  0.20;  0.30;  0.20;  0.30;  0.20;  0.10;
   22; 1; 0; 1; 0; 0; 0;    2;  0.90;  1.20;  0.40;  1.20;  0.90;  0.20;
   23; 2; 0; 1; 0; 0; 0;    3;  1.60;  2.10;  0.60;  2.10;  1.60;  0.30;
   24; 3; 0; 1; 0; 0; 0;    4;  2.30;  3.00;  0.80;  3.00;  2.30;  0.40;
   26; 0; 1; 1; 0; 0; 0;    2;  1.10;  0.90;  0.50;  0.90;  1.52;  0.20;
   27; 1; 1; 1; 0; 0; 0;    3;  1.80;  1.80;  0.70;  1.80;  2.22;  0.30;
   28; 2; 1; 1; 0; 0; 0;    4;  2.50;  2.70;  0.90;  2.70;  2.92;  0.40;
   31; 0; 2; 1; 0; 0; 0;    3;  2.00;  1.50;  0.80;  1.50;  2.84;  0.30;
   32; 1; 2; 1; 0; 0; 0;    4;  2.70;  2.40;  1.00;  2.40;  3.54;  0.40;
   36; 0; 3; 1; 0; 0; 0;    4;  2.90;  2.10;  1.10;  2.10;  4.16;  0.40;
   42; 0; 0; 2; 0; 0; 0;    2;  0.40;  0.60;  0.40;  0.60;  0.40;  0.20;
   43; 1; 0; 2; 0; 0; 0;    3;  1.10;  1.50;  0.60;  1.50;  1.10;  0.30;
   44; 2; 0; 2; 0; 0; 0;    4;  1.80;  2.40;  0.80;  2.40;  1.80;  0.40;
   47; 0; 1; 2; 0; 0; 0;    3;  1.30;  1.20;  0.70;  1.20;  1.72;  0.30;
   48; 1; 1; 2; 0; 0; 0;    4;  2.00;  2.10;  0.90;  2.10;  2.42;  0.40;
   52; 0; 2; 2; 0; 0; 0;    4;  2.20;  1.80;  1.00;  1.80;  3.04;  0.40;
   63; 0; 0; 3; 0; 0; 0;    3;  0.60;  0.90;  0.60;  0.90;  0.60;  0.30;
   64; 1; 0; 3; 0; 0; 0;    4;  1.30;  1.80;  0.80;  1.80;  1.30;  0.40;
   68; 0; 1; 3; 0; 0; 0;    4;  1.50;  1.50;  0.90;  1.50;  1.92;  0.40;
   84; 0; 0; 4; 0; 0; 0;    4;  0.80;  1.20;  0.80;  1.20;  0.80;  0.40;
   85; 0; 0; 0; 1; 0; 0;    1;  0.90;  0.60;  0.30;  0.40;  1.32;  0.10;
   86; 1; 0; 0; 1; 0; 0;    2;  1.60;  1.50;  0.50;  1.30;  2.02;  0.20;
   87; 2; 0; 0; 1; 0; 0;    3;  2.30;  2.40;  0.70;  2.20;  2.72;  0.30;
   88; 3; 0; 0; 1; 0; 0;    4;  3.00;  3.30;  0.90;  3.10;  3.42;  0.40;
   90; 0; 1; 0; 1; 0; 0;    2;  1.80;  1.20;  0.60;  1.00;  2.64;  0.20;
   91; 1; 1; 0; 1; 0; 0;    3;  2.50;  2.10;  0.80;  1.90;  3.34;  0.30;
   92; 2; 1; 0; 1; 0; 0;    4;  3.20;  3.00;  1.00;  2.80;  4.04;  0.40;
   95; 0; 2; 0; 1; 0; 0;    3;  2.70;  1.80;  0.90;  1.60;  3.96;  0.30;
   96; 1; 2; 0; 1; 0; 0;    4;  3.40;  2.70;  1.10;  2.50;  4.66;  0.40;
  100; 0; 3; 0; 1; 0; 0;    4;  3.60;  2.40;  1.20;  2.20;  5.28;  0.40;
  106; 0; 0; 1; 1; 0; 0;    2;  1.10;  0.90;  0.50;  0.70;  1.52;  0.20;
  107; 1; 0; 1; 1; 0; 0;    3;  1.80;  1.80;  0.70;  1.60;  2.22;  0.30;
  108; 2; 0; 1; 1; 0; 0;    4;  2.50;  2.70;  0.90;  2.50;  2.92;  0.40;
  111; 0; 1; 1; 1; 0; 0;    3;  2.00;  1.50;  0.80;  1.30;  2.84;  0.30;
  112; 1; 1; 1; 1; 0; 0;    4;  2.70;  2.40;  1.00;  2.20;  3.54;  0.40;
  116; 0; 2; 1; 1; 0; 0;    4;  2.90;  2.10;  1.10;  1.90;  4.16;  0.40;
  127; 0; 0; 2; 1; 0; 0;    3;  1.30;  1.20;  0.70;  1.00;  1.72;  0.30;
  128; 1; 0; 2; 1; 0; 0;    4;  2.00;  2.10;  0.90;  1.90;  2.42;  0.40;
  132; 0; 1; 2; 1; 0; 0;    4;  2.20;  1.80;  1.00;  1.60;  3.04;  0.40;
  148; 0; 0; 3; 1; 0; 0;    4;  1.50;  1.50;  0.90;  1.30;  1.92;  0.40;
  170; 0; 0; 0; 2; 0; 0;    2;  1.80;  1.20;  0.60;  0.80;  2.64;  0.20;
  171; 1; 0; 0; 2; 0; 0;    3;  2.50;  2.10;  0.80;  1.70;  3.34;  0.30;
  172; 2; 0; 0; 2; 0; 0;    4;  3.20;  3.00;  1.00;  2.60;  4.04;  0.40;
  175; 0; 1; 0; 2; 0; 0;    3;  2.70;  1.80;  0.90;  1.40;  3.96;  0.30;
  176; 1; 1; 0; 2; 0; 0;    4;  3.40;  2.70;  1.10;  2.30;  4.66;  0.40;
  180; 0; 2; 0; 2; 0; 0;    4;  3.60;  2.40;  1.20;  2.00;  5.28;  0.40;
  191; 0; 0; 1; 2; 0; 0;    3;  2.00;  1.50;  0.80;  1.10;  2.84;  0.30;
  192; 1; 0; 1; 2; 0; 0;    4;  2.70;  2.40;  1.00;  2.00;  3.54;  0.40;
  196; 0; 1; 1; 2; 0; 0;    4;  2.90;  2.10;  1.10;  1.70;  4.16;  0.40;
  212; 0; 0; 2; 2; 0; 0;    4;  2.20;  1.80;  1.00;  1.40;  3.04;  0.40;
  255; 0; 0; 0; 3; 0; 0;    3;  2.70;  1.80;  0.90;  1.20;  3.96;  0.30;
  256; 1; 0; 0; 3; 0; 0;    4;  3.40;  2.70;  1.10;  2.10;  4.66;  0.40;
  260; 0; 1; 0; 3; 0; 0;    4;  3.60;  2.40;  1.20;  1.80;  5.28;  0.40;
  276; 0; 0; 1; 3; 0; 0;    4;  2.90;  2.10;  1.10;  1.50;  4.16;  0.40;
  340; 0; 0; 0; 4; 0; 0;    4;  3.60;  2.40;  1.20;  1.60;  5.28;  0.40;
  341; 0; 0; 0; 0; 1; 0;    1;  0.70;  1.32;  0.20;  1.32;  1.20;  0.10;
  342; 1; 0; 0; 0; 1; 0;    2;  1.40;  2.22;  0.40;  2.22;  1.90;  0.20;
  343; 2; 0; 0; 0; 1; 0;    3;  2.10;  3.12;  0.60;  3.12;  2.60;  0.30;
  344; 3; 0; 0; 0; 1; 0;    4;  2.80;  4.02;  0.80;  4.02;  3.30;  0.40;
  346; 0; 1; 0; 0; 1; 0;    2;  1.60;  1.92;  0.50;  1.92;  2.52;  0.20;
  347; 1; 1; 0; 0; 1; 0;    3;  2.30;  2.82;  0.70;  2.82;  3.22;  0.30;
  348; 2; 1; 0; 0; 1; 0;    4;  3.00;  3.72;  0.90;  3.72;  3.92;  0.40;
